Код,Номера,Оператор,Регион
900,900-345xxxx,Tele2,Калининградская область
900,346xxxx,Tele2,Калининградская область
900,347xxxx,Tele2,Калининградская область
900,348xxxx,Tele2,Калининградская область
900,349xxxx,Tele2,Калининградская область
900,350xxxx,Tele2,Калининградская область
900,351xxxx,Tele2,Калининградская область
900,352xxxx,Tele2,Калининградская область
900,353xxxx,Tele2,Калининградская область
900,354xxxx,Tele2,Калининградская область
900,900-355xxxx,Tele2,Брянская область
900,356xxxx,Tele2,Брянская область
900,357xxxx,Tele2,Брянская область
900,358xxxx,Tele2,Брянская область
900,359xxxx,Tele2,Брянская область
900,36xxxxx,Tele2,Брянская область
900,370xxxx,Tele2,Брянская область
900,371xxxx,Tele2,Брянская область
900,372xxxx,Tele2,Брянская область
900,373xxxx,Tele2,Брянская область
900,374xxxx,Tele2,Брянская область
900,900-375xxxx,МОТИВ,Курганская область
900,376xxxx,МОТИВ,Курганская область
900,377xxxx,МОТИВ,Курганская область
900,378xxxx,МОТИВ,Курганская область
900,379xxxx,МОТИВ,Курганская область
900,380xxxx,МОТИВ,Курганская область
900,381xxxx,МОТИВ,Курганская область
900,382xxxx,МОТИВ,Курганская область
900,383xxxx,МОТИВ,Курганская область
900,384xxxx,МОТИВ,Курганская область
900,900-385xxxx,МОТИВ,Ханты-Мансийский АО
900,386xxxx,МОТИВ,Ханты-Мансийский АО
900,387xxxx,МОТИВ,Ханты-Мансийский АО
900,388xxxx,МОТИВ,Ханты-Мансийский АО
900,389xxxx,МОТИВ,Ханты-Мансийский АО
900,390xxxx,МОТИВ,Ханты-Мансийский АО
900,391xxxx,МОТИВ,Ханты-Мансийский АО
900,392xxxx,МОТИВ,Ханты-Мансийский АО
900,393xxxx,МОТИВ,Ханты-Мансийский АО
900,394xxxx,МОТИВ,Ханты-Мансийский АО
900,900-395xxxx,МОТИВ,Ямало-Ненецкий АО
900,396xxxx,МОТИВ,Ямало-Ненецкий АО
900,397xxxx,МОТИВ,Ямало-Ненецкий АО
900,398xxxx,МОТИВ,Ямало-Ненецкий АО
900,399xxxx,МОТИВ,Ямало-Ненецкий АО
900,400xxxx,МОТИВ,Ямало-Ненецкий АО
900,401xxxx,МОТИВ,Ямало-Ненецкий АО
900,402xxxx,МОТИВ,Ямало-Ненецкий АО
900,403xxxx,МОТИВ,Ямало-Ненецкий АО
900,404xxxx,МОТИВ,Ямало-Ненецкий АО
900,900-405xxxx,Tele2,Магаданская область
900,406xxxx,Tele2,Магаданская область
900,407xxxx,Tele2,Магаданская область
900,408xxxx,Tele2,Магаданская область
900,409xxxx,Tele2,Магаданская область
900,410xxxx,Tele2,Магаданская область
900,411xxxx,Tele2,Магаданская область
900,412xxxx,Tele2,Магаданская область
900,413xxxx,Tele2,Магаданская область
900,414xxxx,Tele2,Магаданская область
900,900-415xxxx,Tele2,Еврейская АО
900,416xxxx,Tele2,Еврейская АО
900,417xxxx,Tele2,Еврейская АО
900,418xxxx,Tele2,Еврейская АО
900,419xxxx,Tele2,Еврейская АО
900,420xxxx,Tele2,Еврейская АО
900,421xxxx,Tele2,Еврейская АО
900,422xxxx,Tele2,Еврейская АО
900,423xxxx,Tele2,Еврейская АО
900,424xxxx,Tele2,Еврейская АО
900,900-425xxxx,Tele2,Сахалинская область
900,426xxxx,Tele2,Сахалинская область
900,427xxxx,Tele2,Сахалинская область
900,428xxxx,Tele2,Сахалинская область
900,429xxxx,Tele2,Сахалинская область
900,430xxxx,Tele2,Сахалинская область
900,431xxxx,Tele2,Сахалинская область
900,432xxxx,Tele2,Сахалинская область
900,433xxxx,Tele2,Сахалинская область
900,434xxxx,Tele2,Сахалинская область
900,900-435xxxx,Tele2,Камчатский край
900,436xxxx,Tele2,Камчатский край
900,437xxxx,Tele2,Камчатский край
900,438xxxx,Tele2,Камчатский край
900,439xxxx,Tele2,Камчатский край
900,440xxxx,Tele2,Камчатский край
900,441xxxx,Tele2,Камчатский край
900,442xxxx,Tele2,Камчатский край
900,443xxxx,Tele2,Камчатский край
900,444xxxx,Tele2,Камчатский край
900,900-445xxxx,Tele2,Чукотский АО
900,900-446xxxx,Tele2,Ульяновская область
900,447xxxx,Tele2,Ульяновская область
900,448xxxx,Tele2,Ульяновская область
900,449xxxx,Tele2,Ульяновская область
900,450xxxx,Tele2,Ульяновская область
900,900-451xxxx,Tele2,Чувашская Республика
900,452xxxx,Tele2,Чувашская Республика
900,900-453xxxx,Tele2,Ульяновская область
900,454xxxx,Tele2,Ульяновская область
900,900-455xxxx,Tele2,Республика Карелия
900,456xxxx,Tele2,Республика Карелия
900,457xxxx,Tele2,Республика Карелия
900,458xxxx,Tele2,Республика Карелия
900,459xxxx,Tele2,Республика Карелия
900,460xxxx,Tele2,Республика Карелия
900,461xxxx,Tele2,Республика Карелия
900,462xxxx,Tele2,Республика Карелия
900,463xxxx,Tele2,Республика Карелия
900,464xxxx,Tele2,Республика Карелия
900,900-4650xxx,Газпром телеком,Самарская область
900,900-4651xxx,Сим Телеком,Москва
900,4652xxx,Сим Телеком,Москва
900,4653xxx,Сим Телеком,Москва
900,4654xxx,Сим Телеком,Москва
900,900-4655xxx,Tele2,Ульяновская область
900,4656xxx,Tele2,Ульяновская область
900,4657xxx,Tele2,Ульяновская область
900,4658xxx,Tele2,Ульяновская область
900,4659xxx,Tele2,Ульяновская область
900,4660xxx,Tele2,Ульяновская область
900,4661xxx,Tele2,Ульяновская область
900,4662xxx,Tele2,Ульяновская область
900,4663xxx,Tele2,Ульяновская область
900,4664xxx,Tele2,Ульяновская область
900,900-4665xxx,Tele2,Пензенская область
900,4666xxx,Tele2,Пензенская область
900,4667xxx,Tele2,Пензенская область
900,4668xxx,Tele2,Пензенская область
900,4669xxx,Tele2,Пензенская область
900,467xxxx,Tele2,Пензенская область
900,468xxxx,Tele2,Пензенская область
900,469xxxx,Tele2,Пензенская область
900,470xxxx,Tele2,Пензенская область
900,4710xxx,Tele2,Пензенская область
900,4711xxx,Tele2,Пензенская область
900,4712xxx,Tele2,Пензенская область
900,4713xxx,Tele2,Пензенская область
900,4714xxx,Tele2,Пензенская область
900,900-4715xxx,Tele2,Тверская область
900,4716xxx,Tele2,Тверская область
900,4717xxx,Tele2,Тверская область
900,4718xxx,Tele2,Тверская область
900,4719xxx,Tele2,Тверская область
900,472xxxx,Tele2,Тверская область
900,4730xxx,Tele2,Тверская область
900,4731xxx,Tele2,Тверская область
900,4732xxx,Tele2,Тверская область
900,4733xxx,Tele2,Тверская область
900,4734xxx,Tele2,Тверская область
900,900-4735xxx,Tele2,Владимирская область
900,4736xxx,Tele2,Владимирская область
900,4737xxx,Tele2,Владимирская область
900,4738xxx,Tele2,Владимирская область
900,4739xxx,Tele2,Владимирская область
900,474xxxx,Tele2,Владимирская область
900,475xxxx,Tele2,Владимирская область
900,476xxxx,Tele2,Владимирская область
900,477xxxx,Tele2,Владимирская область
900,478xxxx,Tele2,Владимирская область
900,479xxxx,Tele2,Владимирская область
900,480xxxx,Tele2,Владимирская область
900,481xxxx,Tele2,Владимирская область
900,482xxxx,Tele2,Владимирская область
900,4830xxx,Tele2,Владимирская область
900,4831xxx,Tele2,Владимирская область
900,4832xxx,Tele2,Владимирская область
900,4833xxx,Tele2,Владимирская область
900,4834xxx,Tele2,Владимирская область
900,900-4835xxx,Tele2,Орловская область
900,4836xxx,Tele2,Орловская область
900,4837xxx,Tele2,Орловская область
900,4838xxx,Tele2,Орловская область
900,4839xxx,Tele2,Орловская область
900,484xxxx,Tele2,Орловская область
900,485xxxx,Tele2,Орловская область
900,486xxxx,Tele2,Орловская область
900,487xxxx,Tele2,Орловская область
900,4880xxx,Tele2,Орловская область
900,4881xxx,Tele2,Орловская область
900,4882xxx,Tele2,Орловская область
900,4883xxx,Tele2,Орловская область
900,4884xxx,Tele2,Орловская область
900,900-4885xxx,Tele2,Сахалинская область
900,4886xxx,Tele2,Сахалинская область
900,4887xxx,Tele2,Сахалинская область
900,4888xxx,Tele2,Сахалинская область
900,4889xxx,Tele2,Сахалинская область
900,4890xxx,Tele2,Сахалинская область
900,4891xxx,Tele2,Сахалинская область
900,4892xxx,Tele2,Сахалинская область
900,4893xxx,Tele2,Сахалинская область
900,4894xxx,Tele2,Сахалинская область
900,900-4895xxx,Сим Телеком,Москва
900,4896xxx,Сим Телеком,Москва
900,4897xxx,Сим Телеком,Москва
900,4898xxx,Сим Телеком,Москва
900,4899xxx,Сим Телеком,Москва
900,900-49xxxxx,Tele2,Тамбовская область
900,900-50xxxxx,Tele2,Вологодская область
900,900-51xxxxx,Tele2,Тамбовская область
900,900-52xxxxx,Tele2,Кировская область
900,900-53xxxxx,Tele2,Вологодская область
900,54xxxxx,Tele2,Вологодская область
900,550xxxx,Tele2,Вологодская область
900,551xxxx,Tele2,Вологодская область
900,552xxxx,Tele2,Вологодская область
900,553xxxx,Tele2,Вологодская область
900,554xxxx,Tele2,Вологодская область
900,900-555xxxx,Сим Телеком,Москва
900,900-556xxxx,Tele2,Вологодская область
900,557xxxx,Tele2,Вологодская область
900,558xxxx,Tele2,Вологодская область
900,559xxxx,Tele2,Вологодская область
900,560xxxx,Tele2,Вологодская область
900,900-561xxxx,Tele2,Калининградская область
900,562xxxx,Tele2,Калининградская область
900,563xxxx,Tele2,Калининградская область
900,564xxxx,Tele2,Калининградская область
900,565xxxx,Tele2,Калининградская область
900,566xxxx,Tele2,Калининградская область
900,567xxxx,Tele2,Калининградская область
900,568xxxx,Tele2,Калининградская область
900,569xxxx,Tele2,Калининградская область
900,570xxxx,Tele2,Калининградская область
900,900-571xxxx,Tele2,Калужская область
900,572xxxx,Tele2,Калужская область
900,573xxxx,Tele2,Калужская область
900,574xxxx,Tele2,Калужская область
900,575xxxx,Tele2,Калужская область
900,576xxxx,Tele2,Калужская область
900,577xxxx,Tele2,Калужская область
900,578xxxx,Tele2,Калужская область
900,579xxxx,Tele2,Калужская область
900,580xxxx,Tele2,Калужская область
900,900-581xxxx,Tele2,Владимирская область
900,582xxxx,Tele2,Владимирская область
900,583xxxx,Tele2,Владимирская область
900,584xxxx,Tele2,Владимирская область
900,585xxxx,Tele2,Владимирская область
900,586xxxx,Tele2,Владимирская область
900,587xxxx,Tele2,Владимирская область
900,588xxxx,Tele2,Владимирская область
900,589xxxx,Tele2,Владимирская область
900,590xxxx,Tele2,Владимирская область
900,900-591xxxx,Tele2,Липецкая область
900,592xxxx,Tele2,Липецкая область
900,593xxxx,Tele2,Липецкая область
900,594xxxx,Tele2,Липецкая область
900,595xxxx,Tele2,Липецкая область
900,596xxxx,Tele2,Липецкая область
900,597xxxx,Tele2,Липецкая область
900,598xxxx,Tele2,Липецкая область
900,599xxxx,Tele2,Липецкая область
900,600xxxx,Tele2,Липецкая область
900,900-601xxxx,Tele2,Рязанская область
900,602xxxx,Tele2,Рязанская область
900,603xxxx,Tele2,Рязанская область
900,604xxxx,Tele2,Рязанская область
900,605xxxx,Tele2,Рязанская область
900,606xxxx,Tele2,Рязанская область
900,607xxxx,Tele2,Рязанская область
900,608xxxx,Tele2,Рязанская область
900,609xxxx,Tele2,Рязанская область
900,610xxxx,Tele2,Рязанская область
900,900-611xxxx,Сим Телеком,Москва
900,612xxxx,Сим Телеком,Москва
900,613xxxx,Сим Телеком,Москва
900,614xxxx,Сим Телеком,Москва
900,615xxxx,Сим Телеком,Москва
900,616xxxx,Сим Телеком,Москва
900,617xxxx,Сим Телеком,Москва
900,618xxxx,Сим Телеком,Москва
900,619xxxx,Сим Телеком,Москва
900,900-62xxxxx,Tele2,Санкт-Петербург
900,63xxxxx,Tele2,Санкт-Петербург
900,64xxxxx,Tele2,Санкт-Петербург
900,65xxxxx,Tele2,Санкт-Петербург
900,900-66xxxxx,Tele2,Сахалинская область
900,900-67xxxxx,Tele2,Омская область
900,900-68xxxxx,Tele2,Камчатский край
900,900-69xxxxx,Tele2,Брянская область
900,900-70xxxxx,Антарес,Москва
900,71xxxxx,Антарес,Москва
900,72xxxxx,Антарес,Москва
900,73xxxxx,Антарес,Москва
900,74xxxxx,Антарес,Москва
900,900-75xxxxx,Антарес,Свердловская область
900,76xxxxx,Антарес,Свердловская область
900,900-77xxxxx,Антарес,Челябинская область
900,78xxxxx,Антарес,Челябинская область
900,900-79xxxxx,Антарес,Воронежская область
900,900-800xxxx,Интеграл,Краснодарский край
900,801xxxx,Интеграл,Краснодарский край
